author	short-name
{Pew Research Center}	Pew
{National Transportation Safety Board}	NTSB
{Association of Computing Machinery}	ACM
{Computing Research Association}	CRA
{Gallup Inc.}	Gallup
{Google Inc.}	Google
{Liberal Arts Computer Science Consortium}	LACS
{National Academies of Sciences, Engineering, and Medicine}	NASEM
{Open Science Collaboration}	OSC
{The ABC Research Group}	ABC
{The Cell Editorial Team}	Cell
{The College Board}	CB
{The Economist}	Economist
{The Joint Task Force on Computing Curricula}	JTFCC
{UMBEL Project}	UMBEL
others	
